               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  73,            0.033359,            0.011976,            0.002024,             0.77093,             0.72287,             0.76453,             0.42102,            0.029608,            0.010102,           0.0022493,            0.002872,            0.002872,            0.002872
                  74,            0.033313,            0.011884,           0.0019579,             0.77383,             0.72162,             0.76489,             0.42132,            0.029605,            0.010106,            0.002253,            0.002773,            0.002773,            0.002773
                  75,            0.033012,             0.01178,            0.001991,              0.7737,             0.72172,             0.76471,             0.42162,            0.029602,            0.010111,           0.0022541,            0.002674,            0.002674,            0.002674
                  76,            0.032977,            0.011631,           0.0020199,             0.77405,             0.72231,             0.76511,             0.42173,            0.029602,            0.010115,           0.0022554,            0.002575,            0.002575,            0.002575
                  77,            0.032888,            0.011663,           0.0020331,             0.77507,             0.72118,             0.76505,             0.42205,            0.029598,            0.010117,           0.0022608,            0.002476,            0.002476,            0.002476
                  78,            0.032497,            0.011595,           0.0019444,             0.77602,             0.72128,             0.76503,             0.42205,            0.029591,            0.010122,           0.0022597,            0.002377,            0.002377,            0.002377
                  79,            0.032203,            0.011485,           0.0019846,             0.77691,              0.7208,             0.76523,             0.42237,            0.029595,            0.010127,           0.0022646,            0.002278,            0.002278,            0.002278
                  80,            0.032098,            0.011367,           0.0018554,             0.77878,             0.72088,             0.76558,             0.42227,            0.029597,            0.010131,           0.0022653,            0.002179,            0.002179,            0.002179
                  81,            0.031906,            0.011353,           0.0019054,              0.7788,             0.72104,             0.76581,             0.42292,            0.029598,            0.010136,           0.0022674,             0.00208,             0.00208,             0.00208
                  82,            0.031676,            0.011238,           0.0019303,             0.77825,             0.72135,             0.76522,              0.4231,            0.029596,            0.010142,             0.00227,            0.001981,            0.001981,            0.001981
                  83,            0.031527,            0.011209,           0.0017941,             0.77926,             0.72126,             0.76565,             0.42311,             0.02959,            0.010148,           0.0022739,            0.001882,            0.001882,            0.001882
                  84,            0.031364,            0.011107,           0.0018815,             0.78018,             0.72072,             0.76634,             0.42336,            0.029586,            0.010152,           0.0022777,            0.001783,            0.001783,            0.001783
                  85,            0.031021,            0.011167,           0.0018476,             0.77953,             0.72165,              0.7665,             0.42375,             0.02958,            0.010157,           0.0022815,            0.001684,            0.001684,            0.001684
                  86,            0.030978,            0.011064,           0.0018624,              0.7775,             0.72448,             0.76668,             0.42398,            0.029576,            0.010161,           0.0022839,            0.001585,            0.001585,            0.001585
                  87,             0.03065,             0.01098,           0.0017564,             0.77792,             0.72499,              0.7663,             0.42394,            0.029572,            0.010166,           0.0022865,            0.001486,            0.001486,            0.001486
                  88,            0.030409,            0.010893,           0.0017287,              0.7768,             0.72456,             0.76622,              0.4241,            0.029573,            0.010172,           0.0022901,            0.001387,            0.001387,            0.001387
                  89,             0.03034,            0.010782,           0.0017345,             0.77659,             0.72425,             0.76557,             0.42432,            0.029572,            0.010178,           0.0022938,            0.001288,            0.001288,            0.001288
                  90,            0.029928,            0.010689,           0.0017817,             0.77824,             0.72471,             0.76622,             0.42425,            0.029572,            0.010184,           0.0022967,            0.001189,            0.001189,            0.001189
                  91,            0.029822,            0.010644,           0.0017406,             0.77719,             0.72422,             0.76688,             0.42435,            0.029575,            0.010192,           0.0023031,             0.00109,             0.00109,             0.00109
                  92,            0.029703,            0.010524,           0.0016974,              0.7769,             0.72491,              0.7668,             0.42433,            0.029575,            0.010198,           0.0023112,            0.000991,            0.000991,            0.000991
                  93,            0.029434,            0.010507,           0.0016643,             0.77684,             0.72591,             0.76725,             0.42488,            0.029578,            0.010205,           0.0023165,            0.000892,            0.000892,            0.000892
                  94,            0.029176,            0.010558,            0.001611,             0.77595,             0.72519,             0.76719,             0.42508,            0.029583,            0.010213,           0.0023235,            0.000793,            0.000793,            0.000793
                  95,            0.028945,            0.010351,           0.0016753,             0.77473,             0.72543,             0.76708,             0.42524,            0.029588,            0.010222,           0.0023286,            0.000694,            0.000694,            0.000694
                  96,            0.028828,            0.010175,           0.0016361,             0.77407,              0.7243,             0.76648,             0.42497,            0.029591,            0.010231,           0.0023343,            0.000595,            0.000595,            0.000595
                  97,            0.028494,              0.0102,            0.001624,             0.77536,             0.72348,             0.76669,             0.42501,            0.029596,            0.010242,           0.0023408,            0.000496,            0.000496,            0.000496
                  98,            0.028289,            0.010198,           0.0015577,             0.77428,              0.7229,             0.76602,             0.42516,            0.029601,            0.010252,           0.0023484,            0.000397,            0.000397,            0.000397
                  99,            0.028149,            0.010126,             0.00164,              0.7739,             0.72487,             0.76628,             0.42538,             0.02961,            0.010263,           0.0023566,            0.000298,            0.000298,            0.000298
