               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  51,            0.036321,            0.013013,            0.002507,             0.78735,             0.72852,             0.78535,             0.43512,            0.028486,             0.00966,           0.0018555,             0.00505,             0.00505,             0.00505
                  52,            0.036279,            0.012848,           0.0025984,             0.78806,             0.72846,             0.78793,             0.43531,            0.028455,           0.0096647,           0.0018715,            0.004951,            0.004951,            0.004951
                  53,            0.036011,            0.012813,           0.0024083,             0.78455,              0.7336,             0.78768,             0.43553,            0.028447,           0.0096702,           0.0018898,            0.004852,            0.004852,            0.004852
                  54,            0.035916,            0.012711,           0.0024282,             0.78274,             0.73703,             0.78769,             0.43591,            0.028432,           0.0096788,           0.0019124,            0.004753,            0.004753,            0.004753
                  55,            0.035843,            0.012623,           0.0024003,              0.7782,             0.74078,             0.78919,             0.43684,             0.02841,           0.0096866,           0.0019084,            0.004654,            0.004654,            0.004654
                  56,            0.035687,            0.012677,           0.0023288,             0.77639,             0.74229,             0.78823,             0.43717,            0.028385,           0.0096876,            0.001904,            0.004555,            0.004555,            0.004555
                  57,            0.035621,            0.012603,           0.0022632,             0.78059,             0.73845,             0.78864,             0.43777,            0.028377,           0.0096916,           0.0019109,            0.004456,            0.004456,            0.004456
                  58,            0.035397,            0.012485,           0.0024578,             0.78535,             0.73441,              0.7889,             0.43811,             0.02836,           0.0096963,           0.0019147,            0.004357,            0.004357,            0.004357
                  59,            0.035141,            0.012403,           0.0023777,             0.78406,             0.73654,             0.79012,             0.43868,            0.028352,           0.0096947,           0.0019231,            0.004258,            0.004258,            0.004258
                  60,            0.035085,             0.01248,           0.0023017,             0.78188,             0.74007,             0.78945,              0.4388,            0.028346,           0.0096963,            0.001922,            0.004159,            0.004159,            0.004159
                  61,            0.034711,            0.012306,           0.0022526,             0.77816,             0.74465,             0.78887,              0.4393,            0.028336,           0.0096956,           0.0019162,             0.00406,             0.00406,             0.00406
                  62,            0.034778,             0.01238,           0.0023898,              0.7785,             0.74581,             0.78947,             0.43978,            0.028316,           0.0096945,           0.0019116,            0.003961,            0.003961,            0.003961
                  63,            0.034493,             0.01232,           0.0021687,             0.77758,             0.74565,             0.78993,             0.43986,             0.02831,           0.0096966,           0.0019128,            0.003862,            0.003862,            0.003862
                  64,            0.034457,            0.012304,           0.0022219,             0.77782,             0.74659,             0.79013,              0.4403,            0.028298,           0.0096979,           0.0019113,            0.003763,            0.003763,            0.003763
                  65,            0.034352,             0.01218,           0.0021928,             0.77956,             0.74681,             0.79098,             0.44016,            0.028288,              0.0097,           0.0019039,            0.003664,            0.003664,            0.003664
                  66,            0.034256,            0.011903,           0.0022435,             0.78222,             0.74524,             0.78999,             0.44046,            0.028284,            0.009698,           0.0019019,            0.003565,            0.003565,            0.003565
                  67,            0.033944,            0.012182,           0.0020565,               0.782,             0.74748,             0.79036,             0.44046,            0.028278,           0.0096973,           0.0019022,            0.003466,            0.003466,            0.003466
