               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  88,            0.030222,            0.010595,           0.0017349,             0.79058,              0.7319,             0.78038,             0.43997,            0.028714,           0.0098622,           0.0021888,            0.001387,            0.001387,            0.001387
                  89,            0.029977,            0.010729,           0.0017662,             0.78914,             0.73142,             0.77976,             0.44034,             0.02872,           0.0098674,           0.0021926,            0.001288,            0.001288,            0.001288
                  90,            0.029779,            0.010597,           0.0017128,             0.78934,             0.73037,             0.77982,             0.44015,            0.028724,           0.0098726,           0.0021983,            0.001189,            0.001189,            0.001189
                  91,            0.029695,             0.01056,           0.0017025,             0.79027,             0.73018,             0.77924,             0.44021,            0.028728,           0.0098767,           0.0022022,             0.00109,             0.00109,             0.00109
                  92,            0.029347,            0.010449,           0.0016525,             0.79051,             0.73046,             0.77943,             0.44032,            0.028732,           0.0098835,           0.0022069,            0.000991,            0.000991,            0.000991
                  93,            0.029252,            0.010478,           0.0016501,             0.79044,             0.73007,                0.78,             0.44074,            0.028736,           0.0098907,           0.0022095,            0.000892,            0.000892,            0.000892
                  94,            0.029004,            0.010423,           0.0017111,             0.79034,             0.73034,              0.7795,             0.44109,            0.028741,           0.0098976,           0.0022132,            0.000793,            0.000793,            0.000793
                  95,            0.028832,            0.010345,           0.0016607,             0.79082,             0.73052,             0.77912,             0.44097,            0.028747,           0.0099058,           0.0022159,            0.000694,            0.000694,            0.000694
                  96,            0.028515,            0.010256,           0.0015887,             0.79005,              0.7298,             0.77915,              0.4407,            0.028752,           0.0099141,           0.0022171,            0.000595,            0.000595,            0.000595
                  97,            0.028426,            0.010144,           0.0016108,             0.78961,             0.72982,             0.77902,             0.44065,            0.028756,           0.0099225,           0.0022185,            0.000496,            0.000496,            0.000496
                  98,            0.028215,            0.010204,           0.0016535,             0.79099,             0.72868,              0.7784,             0.44105,            0.028762,           0.0099306,           0.0022213,            0.000397,            0.000397,            0.000397
                  99,            0.027995,            0.010038,           0.0015517,              0.7934,              0.7278,             0.77847,             0.44086,            0.028767,           0.0099394,           0.0022253,            0.000298,            0.000298,            0.000298
